Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-95.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
420,1421221739.130435,-1.010747070e+02
421,1421226086.956522,-1.010047531e+02
422,1421230434.782609,-1.009036865e+02
423,1421234782.608696,-1.009033508e+02
424,1421239130.434783,-1.008908844e+02
425,1421243478.260870,-1.008569641e+02
426,1421247826.086957,-1.010024643e+02
427,1421252173.913043,-1.008646088e+02
428,1421256521.739130,-1.008941193e+02
429,1421260869.565217,-1.008706741e+02
430,1421265217.391304,-1.007801590e+02
431,1421269565.217391,-1.008474274e+02
432,1421273913.043478,-1.009004822e+02
433,1421278260.869565,-1.010333786e+02
434,1421282608.695652,-1.008944931e+02
435,1421286956.521739,-1.008928299e+02
436,1421291304.347826,-1.010001450e+02
437,1421295652.173913,-1.009741516e+02
438,1421300000.000000,-1.009940796e+02
439,1421304347.826087,-1.010425720e+02
440,1421308695.652174,-1.009016037e+02
441,1421313043.478261,-1.008714905e+02
442,1421317391.304348,-1.008630295e+02
443,1421321739.130435,-1.009863205e+02
444,1421326086.956522,-1.008951416e+02
445,1421330434.782609,-1.008822098e+02
446,1421334782.608696,-1.009568024e+02
447,1421339130.434783,-1.008706360e+02
448,1421343478.260870,-1.009383850e+02
449,1421347826.086957,-1.008926849e+02
450,1421352173.913043,-1.009262543e+02
451,1421356521.739130,-1.008506546e+02
452,1421360869.565217,-1.009648056e+02
453,1421365217.391304,-1.010882492e+02
454,1421369565.217391,-1.010208435e+02
455,1421373913.043478,-1.009777527e+02
456,1421378260.869565,-1.007591248e+02
457,1421382608.695652,-1.008782501e+02
458,1421386956.521739,-1.008594284e+02
459,1421391304.347826,-1.009836960e+02
460,1421395652.173913,-1.010191956e+02
461,1421400000.000000,-1.009463730e+02
